Timestamp,stock_volume,Price,amount_volume
2018/8/2,1995074,34858939,5929875000
2018/8/1,1698892,31789481.58,6162750000
2018/7/31,1302378,23890237.74,6230250000
2018/7/30,1134600,20599494.5,6112125000
2018/7/27,1745172,32236116.08,6189750000
2018/7/26,3845399,72369183.55,6375375000
2018/7/25,1655014,30235313.04,6139125000
2018/7/24,2914397,53395003.2,6172875000
2018/7/23,3366888,61733762.93,6169500000
2018/7/20,5200499,99115492.62,6348375000
2018/7/19,7800619,154018944.7,6682500000
2018/7/18,4876415,90980053.53,6355125000
2018/7/17,853141,14381272.75,5778000000
2018/7/16,1747260,30019377.15,5734125000
2018/7/13,1411018,24926198.68,5889375000
2018/7/12,2674501,47873502.08,5960250000
2018/7/11,2718465,49170677.55,6071625000
2018/7/10,4196138,75798138.24,6449625000
2018/7/9,4004621,66955480.13,5869125000
2018/7/6,325700,5712778,5919750000
2018/7/5,0,0,6577875000
2018/7/4,0,0,6577875000
2018/7/3,0,0,6577875000
2018/7/2,0,0,6577875000
2018/6/29,0,0,6577875000
2018/6/28,0,0,6577875000
2018/6/27,0,0,6577875000
2018/6/26,0,0,6577875000
2018/6/25,0,0,6577875000
2018/6/22,0,0,6577875000
2018/6/21,0,0,6577875000
2018/6/20,0,0,6577875000
2018/6/19,0,0,6577875000
2018/6/15,0,0,6577875000
2018/6/14,0,0,6577875000
2018/6/13,0,0,6577875000
2018/6/12,0,0,6577875000
2018/6/11,0,0,6577875000
2018/6/8,0,0,6577875000
2018/6/7,0,0,6577875000
2018/6/6,2042738,39425919.92,6577875000
2018/6/5,3462946,66289711.77,6523875000
2018/6/4,2465335,45851107.57,6233625000
2018/6/1,4663181,88285431.07,6453000000
2018/5/31,6280522,112675339.4,6223500000
2018/5/30,3037169,51175009.1,5686875000
2018/5/29,4096993,71297264.92,5740875000
2018/5/28,2573656,43154045.63,5649750000
2018/5/25,4219457,71514361.15,5619375000
2018/5/24,5941984,98303691.56,5676750000
2018/5/23,2677796,40257973.43,5160375000
2018/5/22,520876,7471687.32,4860000000
2018/5/21,480300,6870638.5,4822875000
2018/5/18,468150,6622848,4772250000
2018/5/17,454902,6461211.82,4809375000
2018/5/16,530650,7485689,4789125000
2018/5/15,599756,8500051.9,4792500000
2018/5/14,775850,11131583.5,4846500000
2018/5/11,1236880,17899827.84,4897125000
2018/5/10,822553,11782155.04,4826250000
2018/5/9,742805,10675172.44,4843125000
2018/5/8,586736,8354739.28,4809375000
2018/5/7,1108873,15808609.26,4792500000
2018/5/4,443225,6242295.75,4745250000
2018/5/3,665976,9439819.08,4799250000
2018/5/2,626651,8811919.77,4745250000
2018/4/27,719911,10107185.44,4782375000
2018/4/26,1299601,18205154.31,4684500000
2018/4/25,1280267,18113877.05,4768875000
2018/4/24,2093817,29745497.39,4802625000
2018/4/23,1039092,13927776.46,4468500000
2018/4/20,618300,8750425.92,4687875000
2018/4/19,765600,10949609.5,4816125000
2018/4/18,1293253,18313851.66,4822875000
2018/4/17,697580,9916133.8,4799250000
2018/4/16,578159,8217545.12,4785750000
2018/4/13,692414,9845978.36,4816125000
2018/4/12,855011,12198984.13,4826250000
2018/4/11,845919,12021622.74,4802625000
2018/4/10,1207011,17188922.99,4802625000
2018/4/9,1934563,27855089.54,4856625000
2018/4/4,924484,12919525.9,4725000000
2018/4/3,1424553,19894770.86,4667625000
2018/4/2,1473648,20781561.01,4667625000
2018/3/30,1150499,16386979.9,4779000000
2018/3/29,1188049,16451126.47,4674375000
2018/3/28,2764887,39111614.81,4725000000
2018/3/27,1575690,21537789.8,4664250000
2018/3/26,1441810,17708000.96,4239000000
2018/3/23,1641300,21928943.72,4333500000
2018/3/22,595637,8464340.35,4816125000
2018/3/21,853260,12218163.15,4795875000
2018/3/20,640200,9186794.5,4873500000
2018/3/19,730950,10619211.52,4887000000
2018/3/16,866230,12666436.1,4890375000
2018/3/15,1060737,15301416.65,4883625000
2018/3/14,930402,13727194.82,4957875000
2018/3/13,1417942,21207236.97,5008500000
2018/3/12,2524527,37910998.29,5106375000
2018/3/9,1528166,22109098.13,4944375000
2018/3/8,1963523,28125098.25,4856625000
2018/3/7,2657150,38772609.5,4846500000
2018/3/6,3698450,55520636.5,5025375000
2018/3/5,3853777,59821815.88,5167125000
2018/3/2,0,0,5568750000
2018/3/1,0,0,5568750000
2018/2/28,0,0,5568750000
2018/2/27,0,0,5568750000
2018/2/26,0,0,5568750000
2018/2/23,0,0,5568750000
2018/2/22,0,0,5568750000
2018/2/14,0,0,5568750000
2018/2/13,0,0,5568750000
2018/2/12,0,0,5568750000
2018/2/9,0,0,5568750000
2018/2/8,0,0,5568750000
